MOLREGNO	MOL_TYPE	MOL_CHEMBL_ID	SMILE	ASSAYS	TID	TID_CHEMBL_ID	ACCESION	TAX_ID	STD_TYPE	VALUE_UM	PCHEMBL_VALUE	CLASS
1603448	Small molecule	CHEMBL3085985	N#Cc1cnc(C(=O)Nc2ccc(CS(=O)(=O)N3CCOCC3)cc2C2=CCCCC2)[nH]1	3	101021	CHEMBL5570	P09581	10090	IC50	0.036333333333333336	7.510000000000001	1
1603447	Small molecule	CHEMBL3085984	CC1(C)CC=C(c2cc(CN3CCN(CCO)CC3)ccc2NC(=O)c2nc(C#N)c[nH]2)CC1	2	101021	CHEMBL5570	P09581	10090	IC50	0.006875000000000001	8.504999999999999	1
1603448	Small molecule	CHEMBL3085985	N#Cc1cnc(C(=O)Nc2ccc(CS(=O)(=O)N3CCOCC3)cc2C2=CCCCC2)[nH]1	3	12840	CHEMBL1844	P07333	9606	IC50	0.012866666666666667	7.89	1
1603447	Small molecule	CHEMBL3085984	CC1(C)CC=C(c2cc(CN3CCN(CCO)CC3)ccc2NC(=O)c2nc(C#N)c[nH]2)CC1	2	12840	CHEMBL1844	P07333	9606	IC50	0.0007750000000000001	9.11	1
263744	Small molecule	CHEMBL436022	Clc1ccc(-c2cc(-c3ccccc3Br)c(-c3ccncc3)[nH]2)cc1	3	146	CHEMBL1985	P47871	9606	IC50	1.108666666666667	6.406666666666666	1
1586077	Small molecule	CHEMBL2436923	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]c(CC)nc3c2)c1F	2	100126	CHEMBL5145	P15056	9606	IC50	0.9135	6.49	1
1585009	Small molecule	CHEMBL2435865	Cc1cc(Cl)nc(C)c1C(=O)NCCC(C)N1CCC(N2C(=O)N(C3CCC(C(=O)O)CC3)C[C@H]2c2ccccc2)CC1	2	10580	CHEMBL274	P51681	9606	IC50	0.43160000000000004	6.67	1
1585016	Small molecule	CHEMBL2435872	Cn1nnc(-c2ccc(CN3CCC(N4C(=O)N(C5CCCCC5)C[C@H]4c4ccccc4)CC3)cc2)n1	2	10580	CHEMBL274	P51681	9606	IC50	0.16160000000000002	6.955	1
1585056	Small molecule	CHEMBL2435912	Cc1cc(Cl)nc(C)c1C(=O)NCCC(C)N1CCC(N2C(=O)N(C3CCCCC3)CC2c2ccsc2)CC1	2	10580	CHEMBL274	P51681	9606	IC50	0.00165	8.835	1
1585363	Small molecule	CHEMBL2436216	CN[C@@H](C)C(=O)N[C@@H]1C(=O)N(Cc2c(OC)ccc3cc(Br)ccc23)c2ccccc2N(C(=O)CS(C)(=O)=O)[C@H]1C.Cl	2	20130	CHEMBL4198	P98170	9606	IC50	14.605	6.27	0
